"taxon","diff_InmunosuprimidoNo","diff_InmunosuprimidoSí","p_InmunosuprimidoNo","p_InmunosuprimidoSí","q_InmunosuprimidoNo","q_InmunosuprimidoSí","lfc_InmunosuprimidoNo","lfc_InmunosuprimidoSí"
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_gnavus_group",TRUE,FALSE,0.000387989152173762,0.44104558337613,0.00269652460760764,0.680988388658505,-0.977605883156082,-0.473037534580205
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_torques_group",FALSE,FALSE,0.293144389355409,0.126483614572926,0.407470701204019,0.299307199274648,0.292628011361349,0.905380777685209
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Sellimonas",TRUE,FALSE,8.5183974742108e-07,0.0476032635329993,1.82396738848867e-05,0.147041191801931,1.31767081025108,1.19910573517821
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Tuzzerella",TRUE,TRUE,0.0014873527882323,1.75067804448761e-06,0.00738364419872463,4.86688496367556e-05,-0.799315682809573,3.38930528482614
"Bacteria|Firmicutes|Clostridia|Monoglobales|Monoglobaceae|Monoglobus",FALSE,TRUE,0.217710605937383,2.43060256070623e-07,0.318544991845224,8.44634389845415e-06,0.292606999321185,3.76845885012129
"Bacteria|Firmicutes|Clostridia|Oscillospirales",FALSE,FALSE,0.499835798271522,0.934567407499207,0.631537540006789,1,-0.177287852979499,-0.0475122274488881
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Butyricicoccaceae|Butyricicoccus",FALSE,FALSE,0.504321344897507,0.0132237212576481,0.631537540006789,0.0519834712025857,0.150484505528202,1.67866979920302
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Clostridium_methylpentosum_group|Clostridium_methylpentosum_group",FALSE,TRUE,0.12011703581059,0.00107448800882213,0.211345164274329,0.00829743517923758,-0.377973101458,-2.01833471996497
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Eubacterium_coprostanoligenes_group|Eubacterium_coprostanoligenes_group",FALSE,TRUE,0.903700280278953,0.0103009139440502,0.911228047761091,0.0447445949444681,-0.0316085314911385,1.49723499246023
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae",FALSE,FALSE,0.146635909123938,0.318015802827578,0.241125827359141,0.552552457412917,-0.388970144115841,0.59700106204497
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Flavonifractor",FALSE,FALSE,0.101561171222731,0.747621179886568,0.190770308107562,0.927717292070323,-0.424208760403021,-0.203872362349176
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Intestinimonas",FALSE,TRUE,0.418406358772869,0.000132491824301761,0.543537232424569,0.0014166433521496,-0.189170997485287,-2.50982489432822
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|NK4A214_group",FALSE,FALSE,0.331109639285152,0.0623170766196392,0.442540767890732,0.174652648475338,0.232130097675258,1.08719312683162
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|Oscillibacter",FALSE,FALSE,0.0525576526424907,0.0138373268668753,0.114148651832909,0.0519834712025857,-0.506229356182278,1.67209123813304
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|UCG-002",TRUE,TRUE,0.000699698823768346,0.000370464647169479,0.004052422354325,0.00343297239710384,-0.864710284481239,-2.19720600967959
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Oscillospiraceae|UCG-005",TRUE,FALSE,0.0119204735441744,1,0.0360205613617443,1,0.618131356973643,0
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae",FALSE,FALSE,0.747019448293117,0.749630642820053,0.830685626501946,0.927717292070323,-0.0912413626808275,0.196835367039534
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Anaerofilum",FALSE,FALSE,0.760579928709108,0.48537042625423,0.832445748744615,0.725446120960623,-0.0674987045497378,-0.408746722545091
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Anaerotruncus",FALSE,TRUE,0.567894505327226,0.00478609339943997,0.680628043948356,0.0277194576050898,0.138770988849502,1.72223364290092
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|DTU089",TRUE,FALSE,1.64363807184396e-10,0.171995878310855,1.52237626193971e-08,0.351579810076601,-1.88568235770499,0.938879326044316
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Faecalibacterium",FALSE,TRUE,0.26199063187853,0.00512318757898913,0.375429874547585,0.0279001290479646,0.329946268802208,1.65224727700513
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Incertae_Sedis",FALSE,TRUE,0.212492970931615,0.0063623054510126,0.314218329356324,0.0327540910255834,0.343468921777878,1.66367230470867
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Negativibacillus",FALSE,TRUE,0.0861083215103702,1.22810093780766e-09,0.173464589709297,1.70706030355265e-07,0.415387800930728,5.12527989538622
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Paludicola",TRUE,FALSE,1.94099865130846e-05,0.050904139926624,0.000207537548101443,0.153819031517407,1.16934913280169,1.2829954560105
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Ruminococcus",FALSE,TRUE,0.802944200664631,5.19254547608042e-05,0.858532645326028,0.000665698854193226,-0.0675320887082798,2.51606167848399
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|Subdoligranulum",FALSE,FALSE,0.621955913483052,0.551291385347983,0.726486319110455,0.785821729112733,0.156834697578657,0.402629947271844
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|UBA1819",FALSE,FALSE,0.203552365080572,0.142260778796384,0.304234180066662,0.324168004142579,-0.410926687097627,-0.98394775557659
"Bacteria|Firmicutes|Clostridia|Oscillospirales|UCG-010|UCG-010",FALSE,FALSE,0.0556907691448608,1,0.119092567863625,1,-0.451615608464961,0
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Eubacterium_brachy_group",FALSE,FALSE,0.574236224300639,0.153476289758972,0.682212266476827,0.338396456432322,0.127880186187862,-0.849027174055053
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Eubacterium_nodatum_group",FALSE,FALSE,0.595232674997953,1,0.701163913768775,1,0.123095638533015,0
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Anaerovoracaceae|Family_XIII_AD3011_group",TRUE,TRUE,0.00352193553626566,7.08953649411133e-05,0.0128828694616033,0.000821204643901229,-0.720257754762232,-2.3861881641408
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family_XI|Anaerococcus",TRUE,FALSE,9.10635181236033e-06,0.826402044497467,0.000115071172901644,0.965293144413008,-1.22417448164695,-0.13031970393364
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family_XI|Finegoldia",FALSE,FALSE,0.107518907490389,0.542828642374863,0.199268375215521,0.785821729112733,0.374004091896512,-0.367733371025903
"Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family_XI|Parvimonas",FALSE,FALSE,0.974187527697925,0.223973326131559,0.974187527697925,0.420706653139009,0.00808205813282645,-0.770187338974185
