"taxon","diff_VMNI.durante.el.ingresoNo","diff_VMNI.durante.el.ingresoSí","p_VMNI.durante.el.ingresoNo","p_VMNI.durante.el.ingresoSí","q_VMNI.durante.el.ingresoNo","q_VMNI.durante.el.ingresoSí","lfc_VMNI.durante.el.ingresoNo","lfc_VMNI.durante.el.ingresoSí"
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Coprococcus",FALSE,FALSE,0.830099525981242,0.547672729820633,0.874119955389338,0.684415251254084,-0.0461667715276071,0.288905588176063
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Dorea",FALSE,FALSE,0.92639482324941,0.131369820754772,0.933107829214985,0.246762230877207,0.019700146095957,0.767489504566655
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eisenbergiella",FALSE,FALSE,0.684879395482255,0.28289374541344,0.791678098359158,0.457235239679863,-0.101456683725846,-0.476072569383634
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eubacterium_fissicatena_group",FALSE,TRUE,0.43253571326333,0.00124884516861959,0.589435922976499,0.0064292399421527,-0.154755462035002,-1.58521925423716
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eubacterium_hallii_group",FALSE,FALSE,0.738515564606422,0.038824004278438,0.821229307842341,0.0963667249054086,-0.0776509393732545,-1.12959716430079
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Fusicatenibacter",FALSE,TRUE,0.962449357844806,0.00865636373741452,0.962449357844806,0.0273462399886504,-0.00996389025229246,-1.28819009107978
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|GCA-900066755",FALSE,TRUE,0.144355751048627,0.00421265144883196,0.264019070996831,0.0162655153163234,-0.304185739564612,-1.40764099576208
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Howardella",TRUE,FALSE,1.5000417415477e-05,0.35499698382795,0.000130316126296957,0.542248140132802,1.03945687503409,0.442721840966884
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Hungatella",TRUE,TRUE,0.000249608581898143,0.000224115354852035,0.0012450092195804,0.00207680228829552,1.21362120358215,-1.82637694915711
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium",FALSE,FALSE,0.0406213525420207,0.884358954759803,0.0957011525989979,0.967383635747211,0.62519668819594,-0.0963203976642713
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_gauvreauii_group",FALSE,FALSE,0.613749053141184,0.0460240605421585,0.748343143742321,0.110299041644138,-0.106597162981314,-1.07397810767386
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_gnavus_group",TRUE,FALSE,0.000621278052453764,0.297815722670352,0.00278573062229268,0.470413471036124,-0.848723634005549,-0.494248842810459
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_torques_group",TRUE,TRUE,0.00965250422629358,0.01046323551179,0.0291673497272784,0.0309444624710384,0.694780971338609,1.21281606274149
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Sellimonas",TRUE,FALSE,1.05613317467567e-07,0.435494970843355,2.93605022559837e-06,0.611452534820469,1.30324273870836,0.353046059382728
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Tuzzerella",FALSE,TRUE,0.656551785065611,0.00197304386812516,0.779476942311264,0.00857040930216868,0.0946071448688916,-1.52537549310624
"Bacteria|Firmicutes|Clostridia|Monoglobales|Monoglobaceae|Monoglobus",TRUE,FALSE,1.32877728821745e-07,0.0346020057778893,3.0783340510371e-06,0.0890681259838262,1.38117140842469,1.05520751819373
"Bacteria|Firmicutes|Clostridia|Oscillospirales",FALSE,FALSE,0.203586612396279,0.127027147703268,0.340946254494974,0.241873610010332,0.321667705937891,-0.669609505828424
"Bacteria|Firmicutes|Clostridia|Oscillospirales|Butyricicoccaceae|Butyricicoccus",TRUE,FALSE,0.000250793224088139,0.281055154611208,0.0012450092195804,0.457235239679863,0.811565648752337,0.534873780022049
