"taxon","diff_SexoHombre","diff_SexoMujer","p_SexoHombre","p_SexoMujer","q_SexoHombre","q_SexoMujer","lfc_SexoHombre","lfc_SexoMujer"
"Bacteria|Firmicutes|Clostridia|Christensenellales|Christensenellaceae|Christensenellaceae_R-7_group",FALSE,FALSE,0.0899322556314441,0.311110817132035,0.186575873623444,0.486465029853681,-0.689730584878833,-0.430478728204309
"Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014",FALSE,FALSE,0.77074093909842,0.306244292335451,0.864587256966052,0.486465029853681,-0.124213590191195,-0.468767345002193
"Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group|Clostridia_vadinBB60_group|Clostridia_vadinBB60_group",FALSE,TRUE,0.165460493296373,0.0023322439866671,0.291126690736656,0.0108060638048909,-0.68627895530504,-1.61299313397394
"Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium_sensu_stricto_1",TRUE,TRUE,0.00660184324331961,0.00381789176082842,0.0305885403607142,0.0165839673360984,-1.20342049029583,-1.4174048852009
"Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae|Eubacterium",FALSE,TRUE,0.128812132211975,0.00454190039896749,0.243639835121718,0.0191310350138327,-0.742898459462867,-1.4900414069941
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Defluviitaleaceae|Defluviitaleaceae_UCG-011",FALSE,FALSE,0.024865318719821,0.115178937757866,0.0803785884198866,0.242573823459747,-0.923255333576856,-0.673240567677912
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae",FALSE,FALSE,0.811471820067874,0.558537668444999,0.89519510309075,0.703578312391172,-0.122970862615214,-0.321534969111156
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Anaerostipes",FALSE,FALSE,0.483317775973367,0.391136424883069,0.639820674859981,0.578382585731347,-0.287463793574181,0.396557416310307
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Blautia",FALSE,FALSE,0.752443333537209,0.229464593764198,0.864377052575802,0.419678664910835,-0.140192045924564,0.58081238679587
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Coprococcus",FALSE,FALSE,0.449988354195471,0.520874286522933,0.614015182977144,0.683033262515921,-0.3012798800839,-0.275044398282215
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Dorea",FALSE,FALSE,0.990769835105379,0.37018014708818,1,0.559293917883229,0.00456881502589004,0.382249489093648
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eisenbergiella",FALSE,FALSE,0.0287322256701075,0.0252301539506039,0.088750652625443,0.0674421422910373,0.938180857324812,1.01892984374482
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eubacterium_fissicatena_group",FALSE,FALSE,0.0651953058224926,0.280093162896055,0.14855979523486,0.481478457146715,-0.75312576226902,-0.463762816404431
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Eubacterium_hallii_group",TRUE,TRUE,5.72236855173143e-06,0.00479710517558378,8.83788031878521e-05,0.019611694688416,-1.88837399945168,-1.24553485740948
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Fusicatenibacter",FALSE,FALSE,0.884873428206684,0.706110098405612,0.953468267602551,0.811151270069257,0.060749535217772,-0.168268736656459
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|GCA-900066755",FALSE,FALSE,0.323676676055457,0.257628354470396,0.473590083912722,0.453295459131456,0.394742766252024,0.481119114894824
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Howardella",FALSE,FALSE,1,0.768112716550084,1,0.854141340803694,0,0.125309537284722
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Hungatella",FALSE,FALSE,0.129707538122354,0.991443208559537,0.243639835121718,0.991443208559537,0.834666272818637,-0.00600378081338779
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium",FALSE,FALSE,0.235567516947915,0.817139090041349,0.372089600633638,0.88048320554843,-0.513951419270653,-0.115027006885339
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_gauvreauii_group",TRUE,TRUE,4.98658627544694e-09,7.33726500374582e-05,2.31045164095708e-07,0.000784522950400514,-3.6213034258521,-2.04621558437959
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_gnavus_group",TRUE,TRUE,1.9833531127785e-05,0.000659305777867154,0.000250623711523829,0.00416561377834247,-2.09898649467805,-1.72906462974431
"Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Ruminococcus_torques_group",TRUE,FALSE,6.93844091057983e-05,0.118501135823853,0.000688888061836141,0.244193475829957,-1.62194928705308,-0.655477351897023
